Protein1,Protein2
64757,525
5164,11326
1021,284312
6835,55299
8451,81027
55294,57602
7965,27037
9439,56254
9748,7534
1316,1952
55178,10884
5886,4350
1654,80145
3184,6182
9960,5313
7486,7415
10890,7879
9924,6223
5878,11228
708,1050
6709,58
81850,136051
1974,4188
8697,200845
5691,26985
7536,8498
80179,83746
51588,3661
10594,9589
80306,25937
54902,58524
5300,3094
8458,4931
10573,55168
10482,10489
10494,29888
6622,27043
9045,65265
9533,10621
7494,5686
25771,114984
8687,140807
4920,5307
4691,6217
6860,9378
1891,28976
4350,2806
3577,5473
5500,3983
7818,10730
80125,116461
55832,8360
7189,9761
5575,83746
10014,8471
7157,5534
10054,6233
10726,3301
51649,55173
8861,51690
9672,85294
4824,4125
6134,9147
478,9114
1780,3741
2956,5378
5108,6829
8548,10142
2962,688
6385,7043
28976,3295
23450,5094
25953,8892
1387,3207
23411,4092
762,7001
83987,3178
4706,4728
6124,6727
5691,81027
54517,8672
51366,25828
2806,3945
55294,55294
79959,3320
3184,3312
29105,8559
975,6418
11218,293
708,65080
7284,171483
2625,2994
55827,55827
267,23295
5567,10131
2961,688
5710,55346
1173,9779
10285,1153
5058,10472
54461,2873
7629,414236
5713,11047
11043,84080
7529,10787
1915,5500
3927,23371
4116,23020
3219,5987
7363,7923
1660,8342
22907,3326
4188,7259
142689,9131
26156,6158
908,2673
51426,7336
10482,4835
3306,7277
10946,8896
4723,84311
4343,1374
6657,10059
162427,7905
60,8662
203328,50489
2068,983
1827,7189
7276,6612
3178,3181
1050,4335
9092,9129
3801,147687
10521,51639
3002,7518
6667,23468
84656,140902
51100,8453
4728,11331
4188,126069
50628,79710
55660,7329
1994,22907
1977,11212
3550,8559
8764,10130
240,5594
5001,23166
10498,6605
129831,8878
6119,1654
23411,3309
8350,3008
1488,5936
154810,55114
1058,1654
3191,4869
3306,10963
7534,6636
55142,3065
10713,24144
29126,91949
60,6854
6342,8417
7494,7494
6119,1915
3551,6156
11340,10179
26505,83896
8850,10629
56605,5034
10475,7321
1602,3725
525,80331
1017,57591
4170,3312
9987,5160
114548,55527
55294,51742
83932,1655
1017,6137
5683,5682
9793,3945
4089,51295
93436,6741
55588,5431
1130,57060
7536,3187
6464,7175
2099,873
7014,9967
51001,5605
23398,51593
10482,29086
6667,3090
23583,83719
31,8536
3848,8687
51340,151903
2539,5236
5691,7277
10379,26145
7227,7341
2688,8192
975,1917
7818,5241
4701,4716
4343,9066
5781,84708
80179,6744
7158,23122
4893,5290
7150,9221
7965,149371
339229,26275
585,4938
1017,3983
7027,1387
6632,6727
5682,5718
1432,9972
84062,26985
1808,26003
5216,60
1488,1856
10482,64901
8045,5108
6789,23085
79621,8569
1039,3801
28977,64960
116840,400569
89870,9817
10179,10992
1822,11060
51451,5516
4830,4833
23517,3183
80145,9716
338,4547
57664,57664
1161,10856
23028,24144
5626,51686
90933,116115
23522,220074
3608,29937
55131,55681
9894,3337
7265,9217
4343,80145
8991,55791
54764,57332
29855,134430
2872,10131
10294,291
23560,51202
84661,87178
171568,11128
208,7249
6923,10513
6468,7203
55223,85403
409,2194
57037,9693
5019,7024
9704,149371
23097,23085
27258,5356
340069,1452
30011,29945
875,3376
5522,5515
93185,3007
55755,84060
55626,5685
1736,51068
8453,2873
1022,2
6780,23020
56947,219854
4738,9631
57038,84340
4089,6233
4809,55660
3608,118980
2052,4801
476,54499
114883,115106
4316,5265
10528,6949
3320,8473
4691,9782
27229,6223
6667,26054
10014,5034
79751,8764
1058,3309
4223,118427
5626,113174
4751,1974
5034,57621
22884,3312
3178,5567
9025,23567
84313,51028
84304,159195
8449,2553
23353,54472
84232,1453
9128,94104
79184,571
7411,7415
10615,56891
11260,8546
7529,64092
7329,2521
6045,79228
54165,1213
163,201501
124637,1327
24148,10946
2100,2100
10399,85364
8668,4926
10975,4723
57018,286499
57169,55661
55290,6745
1544,3293
1017,7273
11222,64981
51116,5250
56257,23020
207,6620
267,9131
1822,9139
5520,8565
26043,9978
51324,100288797
7391,27349
1994,55227
81539,85025
51184,9441
9477,57187
1939,11091
57461,57461
1130,1460
5393,118460
8078,5320
975,4869
9093,375791
29102,23517
7917,9958
8379,11140
55114,6714
23327,1193
26043,7353
3006,1642
60370,84988
396,356
51639,85437
11331,6124
8440,9743
10987,79791
10482,1859
10992,11338
23450,27292
5062,8780
2959,9611
1540,142678
81550,1915
10987,60
57111,22841
7189,51135
2130,22950
9240,26012
163183,201931
22889,11336
10987,7001
6780,983
5469,9443
11218,9391
9693,3798
79959,140801
55314,254827
6138,9733
2099,10919
5976,55191
2801,79577
27154,7994
1213,6184
4300,4300
9218,54521
6228,84844
5610,1660
10643,56259
10262,10921
10921,1460
6223,6137
5987,84309
6199,3192
2110,4722
54534,84545
51377,8361
178,847
4841,10940
1147,5584
24144,51324
7329,5905
9605,11281
93166,93166
6311,6612
117245,155060
27236,475
4987,5368
9045,221785
50717,55145
396,1967
9349,9513
4793,9093
1196,5987
7227,998
3192,3182
4869,4160
8735,57448
4343,27297
6390,2820
11052,79002
5042,83858
3560,6464
51642,92259
10482,80777
28960,4478
3183,28977
3680,3680
79989,163033
11339,84460
2972,9329
5886,5685
4343,83743
23517,6628
1557,4047
6714,5432
5108,23392
2580,79869
51649,9733
10856,80304
3398,5925
3185,55161
6272,10542
1181,114034
8419,10302
6628,26206
23385,10682
1660,3187
3183,6122
7013,6819
9119,23294
10421,11052
1080,3306
51690,9716
10952,3337
339390,335
22907,293
8915,7336
1212,1175
1017,51053
10856,6132
6045,139322
2521,3192
25876,79666
283450,7534
57602,10885
6271,6261
3990,7025
3178,3326
207,3178
6733,388403
10342,196463
10567,3265
221937,25942
5977,6599
4343,4722
4731,5626
207,5730
9139,51134
6386,63908
6667,142
10643,9775
11198,55717
5303,4141
2056,2625
1856,81579
6103,134492
57159,80022
5976,3069
3007,6158
4005,2624
53615,3725
79159,1662
8844,5894
10642,81887
23171,5236
2267,60560
8814,5693
24148,80145
3654,85406
2002,83930
10992,51021
29911,57097
6251,4702
2354,8440
10131,84844
54443,26137
1017,8531
989,23176
317,3320
8928,55157
27005,9101
6878,6878
55294,29886
1017,5094
9924,5202
5515,658
10826,79022
54165,1654
1642,4926
9924,3312
54902,79803
7266,790
3739,88
3326,57418
3065,3326
5663,348
2100,11009
8522,3192
3178,2521
4809,9349
51647,2686
5594,51382
27339,55588
7468,50628
51259,987
139596,7371
4924,839
51213,1655
5356,11338
5062,8874
23310,6709
9782,689
523,51042
90678,3297
8440,23522
2803,5870
6741,51605
9533,100128927
5595,8350
9101,6778
409,6714
4292,9898
27076,9847
57644,10016
58511,329
207,11009
10299,6713
27005,4287
29088,51023
79616,159195
6428,84233
29110,4670
134492,3320
5563,5575
60491,7389
10319,12
2122,5597
5698,5693
5887,7314
10286,8220
3309,6667
84433,10987
7532,7936
5702,2617
27161,4720
2155,84464
10989,6132
3932,5601
4343,6522
4869,26354
5626,91608
3024,85364
4478,10963
10514,81027
6117,64789
10569,7536
7337,84461
1406,9670
24144,51100
2099,7337
1994,7334
51202,55003
9675,3308
28511,4793
1511,183
23411,1869
56943,56970
10856,1785
1994,64921
3312,4791
5179,29945
29974,113730
6924,8500
9463,2893
24144,3550
2130,112950
8896,7175
55729,5430
9070,2033
1408,10575
1147,5499
79590,64978
3742,3032
5869,10567
9589,9688
26524,9919
9290,409
7321,8239
6146,55145
1452,3838
6733,55832
5591,9785
1017,171568
64710,983
57606,7534
3480,7534
3192,51154
54534,64969
124512,3301
5296,3872
219541,64794
7430,9221
57187,9203
1499,1016
84062,10807
1785,6386
7329,10891
54414,51202
23385,10897
57461,94104
1890,1890
6640,3578
9252,2908
23291,55759
4653,713
29844,85403
2100,29893
9958,4622
8407,25902
79959,80184
5071,3032
10921,23398
372,372
10489,26118
7157,3032
22919,11116
2670,55633
1994,9533
118924,79020
11144,6117
3433,11060
4869,56902
50628,51593
8453,6124
57698,57698
10987,6233
118460,118460
6714,6778
7334,84133
11104,51750
3326,6124
1032,254187
107,5138
1974,3312
5292,26094
341,51617
2735,2735
5025,9517
80184,4282
84080,84969
4055,65244
6137,26953
10645,8402
3077,7037
3295,6342
5788,7852
22933,25782
55646,3891
11168,9967
27043,6132
79101,79101
9045,9775
55602,5062
4725,28976
8290,57332
2806,56267
9456,7224
5201,213
10576,22948
11281,55145
432,199675
55749,55832
1499,3475
51377,1823
85403,51490
8814,11140
11346,11344
9951,9953
1589,85291
9218,4705
158787,161514
5506,22853
213,83660
7419,509
11260,55717
94234,65986
11137,51602
1147,9585
84708,92840
286204,8359
9775,4089
826,27430
1017,9782
817,9513
65260,8991
10940,6921
8349,8451
2130,78988
79002,8563
1994,79943
26993,84080
27257,2746
8099,9463
5245,83858
64061,285971
466,3726
1314,23405
6103,8458
10482,3308
55068,84708
1173,27042
7158,55697
1994,10724
10297,51434
1874,367
6045,57332
8350,10473
54677,440275
7319,7319
1432,81
54954,7341
4223,9783
80013,285367
51340,58509
11340,54726
51111,51111
124583,22978
8887,91949
55294,5500
11052,4076
5718,5708
23291,1213
331,6741
2997,81631
3183,9343
4701,8266
10919,6015
3309,5707
6733,84295
65057,23154
8266,6134
6714,8653
10949,79228
6314,5705
5925,5894
1499,8850
1537,57644
7360,2712
6156,7150
6158,9733
25953,55698
23512,1460
55135,908
117159,11009
11103,6158
908,8078
7329,467
5717,2597
84365,10514
5987,64976
7532,1198
84305,7936
81603,81603
79664,124220
55052,79590
26232,7415
84872,84872
405,9978
7054,7299
3280,5584
166,7545
22913,343069
6631,9530
1994,79183
2042,80230
51103,4719
4897,23499
409,5594
5356,9716
10111,4691
5886,9648
8266,11218
5970,11281
5626,51550
10856,54039
910,79465
55588,55588
8676,8676
79002,80145
3312,5787
159195,220164
5893,7534
1478,8189
5501,10421
4841,11338
6132,79697
10284,7307
4343,375790
23450,6137
57132,23020
57461,8559
396,5962
7415,7353
509,771
10747,2220
142,5430
2931,5584
1915,54931
150684,5966
57606,10221
444,147199
6647,5236
26009,57326
10262,9984
51021,5250
3692,873
284427,6813
2582,2592
3887,11339
8907,84445
2130,94081
5753,10657
4869,6233
4026,210
51341,6670
54810,84445
55832,8634
9070,8290
5584,56478
4085,4085
51548,22948
3692,1072
9841,57693
8021,87178
145508,10427
1017,7150
5347,9540
5300,11338
10056,8662
7874,11140
23658,27257
55521,55521
26031,94121
4946,10390
22989,81
5824,54996
722,6602
4869,55299
3309,100506742
1024,79084
22890,3009
3178,7307
4223,199990
3024,221785
23450,5042
4723,6390
54960,6632
51295,5664
5626,54472
7322,64320
5431,5435
4863,10963
55197,57037
51434,1387
409,3312
2521,54558
2099,30836
1406,4302
8407,1396
10379,10379
1408,6184
10844,4791
54764,254187
10946,1153
5903,9972
3183,9533
53615,80312
7329,10055
3998,5245
6301,51759
11331,11218
6871,84313
84464,9688
6605,3065
64411,337879
3480,27076
5987,137209
55233,64375
79159,389421
3927,348093
3181,26517
83987,83987
3069,29901
7157,5955
145508,23368
149041,7332
3178,3842
8202,1147
4188,9139
7329,23512
5308,5567
55052,64976
4194,7314
23476,9440
1108,23028
23512,10397
409,169981
55660,7536
29093,64983
5515,908
1058,11198
29089,7001
22907,3183
6990,150590
64983,28977
26468,11011
3183,5300
10987,8330
8359,11335
4691,5094
10645,805
3007,6138
80279,3308
6257,9847
60,6602
213,154754
1032,79735
358,23619
2104,5705
7299,7391
5966,117286
6181,81027
3608,6138
5595,23160
3838,8731
22826,24148
124995,51642
7529,9882
6156,6217
10075,1738
6119,1108
5201,10989
875,9513
51451,151987
9329,11212
479,2773
2101,2104
128,314
22803,3692
3297,5591
50514,9975
476,509
10159,23770
5690,5711
79885,55131
597,171483
10987,130535
55173,84545
7014,8471
55147,5241
358,154796
513,1327
6272,54840
9113,10807
9782,5903
5730,5737
10642,6122
79711,506
3320,79003
23524,25804
1544,4047
5297,81
2099,6184
4869,22984
94234,3376
9092,55660
124,217
2521,5236
866,3115
10681,10987
5878,55364
4000,4926
27163,220323
51154,65008
808,8717
3191,10949
10975,4697
1994,79768
55832,5834
2801,10286
27349,79188
3191,7531
4216,5604
54819,51631
1198,6428
5987,55663
25980,84138
23048,1785
22803,1915
51300,79135
5932,5932
5130,10130
1616,6233
81833,9833
4343,55684
4633,4653
6629,9463
1072,9533
11052,23020
29894,55339
6919,90135
10128,84316
11116,23336
57506,9354
11052,23398
8360,9759
123169,7319
80207,55170
4223,10197
4298,8178
1827,5597
29796,4708
57410,6599
4843,2194
11260,5685
10327,126
2099,4436
252969,5423
3161,7069
339976,8078
5501,51315
50855,30849
8735,51244
149041,7336
3739,9229
29110,3551
5108,79096
9830,202243
51755,8449
26354,9782
10594,6625
84232,84232
1994,27154
7014,23499
1857,147687
7430,56648
2806,55293
51259,9631
847,3295
23786,84522
23107,9775
1869,331
2521,10262
84708,253980
27292,5094
140801,6160
8878,84676
55324,526
29123,80817
4209,7311
83987,27044
3183,3861
4287,9463
1499,3181
108,5145
1994,51727
79172,9554
7415,56647
2064,983
6194,64960
10992,10197
11060,7322
4507,1434
6045,25926
56947,100507537
1660,6749
23411,367
3192,51340
6399,27095
9987,525
10419,51021
23032,11103
10445,84530
1017,4809
713,479
5077,4487
26168,9070
5591,1147
10482,112936
81631,51631
2130,5202
6601,7251
1069,908
9139,9139
5501,8045
57187,26093
5568,6476
10499,6605
908,55466
5573,30968
8815,4926
462,5198
712,714
8534,4809
114548,8408
978,8895
5599,23411
84146,10919
10362,11007
196,9978
7013,23193
9937,8554
367,22890
84812,8867
5300,55201
5245,1627
83547,83547
10987,6228
2099,8932
1642,79016
5195,10128
7014,6262
7376,51380
9240,124995
836,8505
65057,1627
10142,23028
7341,7727
88,1739
10285,5496
9477,10890
9421,9421
84708,149371
6119,1459
4358,51706
26578,60
170506,4869
54507,5682
7534,908
790,836
9440,7157
55773,7024
79885,10049
28957,740
55588,10001
6452,7018
6745,10576
3191,6157
22832,85379
5110,54800
1740,1742
79447,11091
4045,4045
4724,7381
5071,10043
23506,57685
6837,10190
26052,23268
79727,6838
58500,83450
9045,54606
11335,23468
1856,3309
6605,5915
132789,64841
79058,250
128710,56254
10590,5261
6449,7039
5591,9343
9223,11346
8443,84464
3312,9532
2773,826
2130,29982
54534,285367
284001,284001
10252,10667
3945,56061
